Samples,SU_2,SU_3,SU_1,PU_2,PU_1,PU_3,CU_3,CU_2,CU_1
Group,SU,SU,SU,PU,PU,PU,CU,CU,CU
761.394525678077,63065.5914719195,15616.701727301,388513.371227733,70665.3513868313,33653.3723128222,797176.238984967,81292.4951475792,564334.256036653,987856.10748753
761.429176872957,2945.08149570959,3578.25402671089,3593.40122222613,3181.03855839812,3766.07274441727,3786.9245914886,2851.28817506118,2392.76296285264,3160.9687364009
761.430066852743,3265.02278114315,2947.94578221171,3118.09553665362,3835.90288868568,4291.36732742822,4091.72352997441,2295.24641692302,2418.22716046108,3157.56782485932
761.48802961833,5218.13552394071,5700.40966233215,5374.25597312071,4126.40834250238,3054.44802386986,5050.39689809722,4072.75896895662,4087.35322717409,4539.82902334186
761.575338051549,9173.12459809395,12267.0826782658,11655.1649679043,14323.4902433792,15150.4878758282,18430.4582015984,8163.59465469711,8437.14157842199,12682.8756096888
762.297186068644,1419.94621877608,2299.16826130715,991.045513939822,5486.74677353905,4282.48757358017,3454.27375880788,54797.9185827308,54932.160155053,34439.6942813918
762.297270984706,6757.8444269105,8865.98394727174,5478.77709583144,12263.9945833194,12167.6423588459,5745.58937353082,37819.280046246,28507.2875765805,24828.0236188559
762.547757310919,3894.12282891055,4329.92560577494,4482.62043827078,9853.32647339042,12451.3543208096,17459.2451115282,2066.92616393389,3063.29854281659,4532.82387562809
762.558553382654,6620.50716082343,7455.63552063348,7370.24429191327,7140.63140421329,6603.21270219715,3717.68827880399,6838.52534520322,5074.37165343337,6089.96424192373
763.364811300296,6433.69814172659,1710.38960038596,13036.0261896234,3095.35504212878,1074.60208248271,12263.5186846621,2237.02442638623,7303.02866976228,10230.4916992773
763.395911666449,11108.9460277834,3091.69319447339,65205.7131555419,12323.2359618576,6599.68709272714,127221.663684739,14691.2245125144,93450.3406204,168624.430613884
763.448661434821,1066.36681066411,1006.95784215784,1572.99005364413,9361.29682605878,9394.2555607205,7596.32347635183,6330.57956595284,6697.14462541148,5631.11311778127
764.551196761583,2252.78199571048,2853.33989588117,2528.79510608274,3268.02436359499,4143.95855409433,4202.83808275674,1975.77113046813,1863.66228929936,2189.7336868625
764.561672433321,29604.0574524875,28276.0718471854,27696.3539444457,57525.9803782682,58238.9508215684,87989.1533820671,8236.07594000301,11113.577562891,19570.9692898601
764.562706920657,5636.85399168142,6450.58217402142,4785.18310713247,9757.4882630083,10704.0821309543,15823.2440315146,2174.75474182617,2161.3214711653,3188.56572813635
766.531049442908,2921.98358781864,4035.38878569875,2733.95203016121,3838.58233207444,3899.65883649844,3242.58373911578,2605.01570626519,2967.61134023734,3888.40596558096
766.534830624715,8247.61013152509,7304.33037510838,9446.37496446463,9205.13156063488,8679.72231078478,7426.92201334155,7043.9297840537,7283.04892529639,7930.91277606645
766.615981389643,6024.26987542812,6487.42154423351,6730.47873298682,3080.55175283767,3598.56712312809,2679.12135645567,8889.89459768929,10961.562528408,10884.5745345354
767.464691369322,23801.5863832771,6728.75659324205,131881.612745048,38185.9788874327,22902.2449538514,457239.709756624,23007.4751232715,127695.137535625,262838.090446971
767.525898249805,16878.5661662952,18545.2667793497,18717.6004964608,16542.7196229626,20033.1153483374,21583.2838149226,14173.9511175071,14087.7454722841,14952.5484254817
767.600565698731,19487.9903195169,21127.1074544715,20609.6235176776,19980.0119979783,20904.5928650255,22941.8339673234,14621.9304540865,18276.2652050457,19085.1815603729
768.307043407855,4029.21162557864,3910.10846658397,3813.8144665826,7915.12423494388,7555.74249643955,7774.60095718234,8598.36672458168,9087.1104497373,9256.38072405733
769.267104643456,1246.33609936477,1348.22254499933,1264.06917663105,6166.98555542329,6523.95332813144,6334.67312102227,5666.65695202393,5728.70061188805,6474.96764788219
769.269462727061,879.942888951172,718.778502243461,1042.93777093441,2405.42692906656,2011.78457154757,2016.29427194379,6565.6397512905,6759.3040251386,6728.88427025112
769.306752594322,3029.36810752953,4451.72939017256,8612.7702416745,1075.45028429816,2646.72428462104,4932.2776615633,1834.38840246937,2918.58682456595,4384.35632357673
