Samples,SU_2,SU_3,SU_1,PU_2,PU_1,PU_3,QC,QC,QC,QC,CU_3,CU_2,CU_1
Group,SU,SU,SU,PU,PU,PU,QC,QC,QC,QC,CU,CU,CU
104.071344977016,2735.44276248064,3170.18720811483,3082.29511029877,12299.4953910255,12773.5626527013,13052.8134674463,8657.75898012558,8584.79986138561,8754.425427171,8632.20603627193,15415.6990106891,15043.4532665177,17493.2264132463
104.071383986564,7721.2858700454,6087.07750501563,6025.87899277764,16731.1892355891,15906.9564316195,15395.6104417196,14052.5730831499,13017.3158244638,13288.7311896391,13734.4135723731,19492.7314702357,19372.5648928308,19625.7821571192
104.107883172177,20226.0909734673,20497.6333905109,20574.493636045,1643.07334336689,1325.09919675469,1706.70257737023,15501.8444451564,14993.4412264965,15187.2816771163,15346.4757846427,13470.0553430243,14930.5364925877,13756.4427132234
104.107920932638,32415.0726827412,34185.6469540011,33573.1502192006,15296.6189347092,14518.9308594037,19515.1553118099,38464.7646656148,37082.4900616493,38900.0697608901,38010.4561049583,17079.9388828349,15693.3873465636,15307.8094649201
104.107938979162,11939.2205553631,12728.5380991127,12106.1673896805,13962.8286256737,13910.8533220405,14479.6441765833,16644.9953239175,16460.7146971259,16050.0567887121,16601.0734490939,22035.1110359233,21745.2597094016,22772.1450125683
104.108116368558,113950.697390771,119819.759797443,116892.760219088,85409.3767481885,84624.8576760135,84093.8436215189,89096.7381141779,89623.3335737006,90630.9880356951,89226.2077052222,82068.4074693828,85100.1511991147,88749.0203849472
105.034308876755,4589.71287661033,4822.05658458846,5036.43769101044,6824.34979690202,7154.98200226991,6508.58037680403,3030.53217221238,3284.80736291316,3254.45269565205,3103.5483037011,6203.53750080148,6777.53854319482,7736.10773160872
105.034566942657,1269.21266111552,978.7219634749,1009.43927101296,3416.18281938746,4097.0336218141,3987.61302884926,2009.2547175979,2069.63757928763,2061.80102520244,2026.93060300744,5422.43234672645,5946.85258920567,5260.97807476948
105.070602605781,6888.42013687949,7992.57519731439,6509.62290786771,2692.10425603271,2677.73686664925,2153.52755655962,3650.94947299467,3849.85744305126,3723.41949685973,3711.09915064832,6406.83708774735,6214.33578662926,5947.0828342612
105.07061126975,2323.94805316927,2305.75004228617,1990.03777486483,1603.03242146972,1507.94585727784,1928.50645378958,4446.22188036466,5387.44627269555,4961.8784456299,4712.70357314535,10234.743981004,10924.3771098192,10111.6726187459
105.070672112275,1340.60606917779,1342.85777825539,1293.43996023481,8302.66935548086,8549.04953821405,8024.66628860084,3611.19841141391,3395.87440779746,3491.86704180934,3544.39018418183,9929.45044467983,9811.70127883337,9017.71539416057
105.070685868818,2003.2848919156,2174.98113422347,1797.41958303243,1827.98542828666,1962.31230748478,2017.96198413431,11916.7748769024,12067.9329007619,12354.0660983802,11953.9849702109,6889.0581895145,7543.60512629286,5915.25771795384
105.070723412503,3685.27747747051,3795.75873827351,3720.62146444779,18997.4109288274,17126.9070815119,17655.2439969377,5746.20379671757,7083.9301422476,6399.96875374382,6124.34218594262,11939.2521626076,11308.7930550177,11811.6060487982
105.070747634954,2611.35129270109,2132.22402091547,1587.85924076164,4484.39586321191,5395.99413763959,2919.21790147346,3519.32937919458,3413.62372382648,3318.37635305487,3490.46510397847,8751.26852554863,8582.42073448726,7415.9035634843
105.070760196689,1266.79738643717,1443.87398574537,1262.85183626918,2942.81832310052,3161.05585361224,3154.11658978178,3995.36178237131,4082.39218719217,4263.9712478396,4016.37497892625,4504.44309887748,4144.73543311298,4152.51555194269
105.070773881083,1290.3578209189,1292.88441305716,1436.90918419599,3795.41370375691,3791.07632013146,3737.5808899271,3007.05352828443,3124.47154661549,3265.65470022353,3037.67930357426,5180.24066521584,5666.12332342114,4706.5167547211
105.070789765062,4047.23594235497,4602.83194238177,4856.01426147531,3753.79469753302,5101.16504279602,3338.84128375719,4414.81367216991,4618.06042589475,4892.03518911427,4467.07283017272,5900.85801214847,5680.62302532348,7121.05221452458
105.070793337799,4744.86124421811,4551.87691678065,3817.29493565033,2542.64117334707,3154.05444850019,2978.865808251,6319.16261818629,6386.29788601391,6142.41186827082,6344.76038951661,14568.2496414318,15967.8326811174,18169.4989887891
105.070804439815,1607.01715659191,1915.78562975455,1187.7032602194,2270.62806474136,1956.54155695426,1523.26561419998,5584.22155331331,5752.62253374351,5451.88465044311,5640.36670126138,4409.03518299526,3211.9715945599,3260.52641124722
106.042102934603,2232.34412818845,1762.01327407829,1681.49772668421,7569.04939485387,8259.9885363361,5521.88256964936,4715.65515515977,4516.23054908363,4596.01259780016,4654.40402645729,12644.0285163917,12759.5587781256,11109.4593647553
106.042163491319,812.927192876212,721.597670387077,676.379807942961,6879.79819893651,7565.86302540942,5091.218640609,2153.61735369567,1998.5776715756,2043.76677423657,2105.8860752937,3240.48420467293,3435.94882860595,1808.92400828628
