Samples,PU_1,PU_3,SU_2,PU_2,SU_1,SU_3,QC,QC,QC,QC,CU_2,CU_3,CU_1
Group,PU,PU,SU,PU,SU,SU,QC,QC,QC,QC,CU,CU,CU
109.9321322,1748.5,1689.291,2756.2363,2014.5566,2459.209,2568.1445,2963.2324,2641.0684,1911.167,1753.4297,2474.5762,2519,2679.793
109.9321524,2489.5488,1994.0508,3080.0156,2034.8555,3008.2207,3152.8242,3618.7988,3139.8613,2229.0703,1833.332,3197.6719,3464.1855,3198.879
109.9321668,1932.709,1743,3104.1152,1838,2676.584,2756.4648,2929.8086,3033.0137,2086.8457,1750.0488,3082.6777,3062.289,3179.6738
109.9321801,2102,1945,3104.1152,2016.7188,2934,2756.4648,2995.9727,3033.0137,2086.8457,1545.333,3318.1172,3062.289,3248.0273
109.9322635,3442.4004,2933.4102,3664.2637,2861.0586,3422.707,3388.5781,3400.0938,3353.33,3023.7148,2555,3644.6875,3468.287,3777.1992
109.9322923,2680.836,2558.0996,3675.213,2560.7344,3375.834,3372.787,3396.5508,3577.5508,2563.0586,2302.5488,3784.3887,3910.0527,3381.5508
109.9323475,3311,2969.4922,3486.996,2777.789,3373.4375,3452.4297,3684.5078,3563,3122.793,3025.0469,4241.8164,3622.4492,4008.379
109.9324131,3559.9434,3626.666,4889.5977,3731.4648,4753,5175.043,5219.0312,5254.0938,4023.9922,3530.1484,5716.203,5426.84,5065.953
109.9324267,3654.537,3746.0977,4204.957,4063.4258,4540.914,4100.832,4832.867,4135.379,3783.6426,4077.961,4713.09,4482,4598.2773
109.9324363,4337.047,4083.4668,5227.258,4141.754,4815,5001.3477,5774.504,4949.7617,3924,4197.6445,5291.961,5485.3086,4758.8633
109.9324402,3168.5996,3160.0137,3651.0312,3250.8848,3435.3008,3778.9531,3761.3262,3852.0469,3666.6543,3415.713,4241.8164,4164.879,4008.379
110.898037,45005.75,54719.625,24181.36,50673.938,22413.453,23740.812,11514.305,11819.18,13732.25,14915.789,8497.109,8079.621,9329.711
111.0076059,8407.625,7999.008,1770,8022.824,1672.8633,1778.8018,6746.625,6850.9336,6933.8438,7004.922,10171.25,9901.375,10164.602
111.0076394,6061.793,5661.672,1203.7012,5808.4414,1471.3408,1256.3232,6089.9297,6685.504,6681.117,5880.8867,9321.906,8504.211,8463.6875
111.0076833,6002.453,5917.336,1521.7646,6314.0977,1385.5947,1328.9912,3712.9727,3806.002,4118.5273,4360.211,10155.773,10377.719,9127.594
