Samples,PU_1,PU_3,SU_2,PU_2,SU_1,SU_3,CU_2,CU_3,CU_1
Group,PU,PU,SU,PU,SU,SU,CU,CU,CU
117.0334677,0,0,3485.5234,0,3444.418,3578.752,2355.627,2102.3203,2382.6602
117.0335599,2839.5176,2285.3027,1059.3086,2611.7383,1252.1055,731,2165.2754,1976.8936,2085.0293
117.0372863,979,962.0781,1107.1318,0,912.45215,961.17773,17418.172,18188.11,19107.188
117.0543242,7700.215,8476.305,0,8497.414,0,616.0967,4710.578,4869,4431.617
117.0543325,6512.922,5631.8906,0,6761.2227,0,0,4094.6113,3920.4805,4364.1055
117.9274482,5220.1914,4699.461,13048.266,4520.9766,11861.9375,12288.664,30873.875,30059.875,28898.078
117.9275019,20873.39,17493.61,22104.562,12856.383,19703.016,21440.062,58687.97,58896.78,60641.03
118.0144673,5456.301,6165.5156,5244,6514.8633,5021.8555,4629.3477,5092.3633,5105.625,5363.7188
118.0144803,5194.367,5679.75,4350.1797,5523.1445,4633.2266,4316.0625,4621.508,4674.801,4292.008
118.0144831,3789.045,3821.287,3394.7715,3903.1543,3105.1191,3103.0625,2896.17,2998.7715,2975.3281
118.0144857,4868,4772.082,5270.133,5061,4381.8164,4230.7695,4643.4844,4519.9336,4397.5977
118.0145026,2390.793,2349.287,2906.625,2733.1719,3239.6152,2783.3574,2782.246,3136.4805,2731.3438
118.0145168,3234.457,2698.8281,3155.3535,2733.1719,3079,2987.1328,2854.6562,3178.3652,2736.4277
118.0145193,3141.3691,3368.1836,3215.4473,2778.5703,2780.8105,2906.088,2854.6562,2837.6836,2736.4277
118.014527,5126.0977,4300.7656,4973.539,4246.5312,5298.3438,4852.6055,5049.203,5251.6797,5089.6016
118.014547,4845.4336,5409.371,3909.4297,5095.6133,4598.4297,3912.7188,4059.2773,3899.42,4122.8633
118.0145501,3671.3223,3820.455,3644.8398,3905.0234,3952.1016,4229.043,4099.957,3631.9883,3915.2598
118.0145518,3662.0566,3589.6562,3644.8398,3007.7305,3621.9219,4229.043,2943.291,3631.9883,3918.1094
118.0147125,65510.625,75262.69,54818.03,77126.19,59715.125,55216.125,49953.625,52071.812,15116.6875
118.0497245,11231.148,12448.82,0,12318.125,0,0,12454.586,12734.6875,13957.469
118.9229886,19988.11,13711.898,24404.5,12287.359,23889.703,24751.469,23318.672,22816.781,22876.422
118.9230991,51290.375,50850.53,38079.53,49131.97,36956.97,38002.78,32094.062,31326.797,30451.86
118.9296449,67370.875,67826.94,10699.945,71394.75,9011.586,9658.102,39880.594,44678.375,46801.625
119.0336688,1035.6631,1165.8584,4266.117,959.79297,4451.551,4461.715,866.1221,826.30664,980.76416
119.0338071,5635.922,6415.8477,5947.9688,6098.801,6874.992,6510.117,3351.33,4398.043,3863.9219
119.0338124,15598.031,15320.703,3400.8027,15818.781,3947.246,3063.8262,10437.016,10106.273,10602.758
119.0340901,9929.859,13573.914,1392.8291,12286.945,1075.2793,1680.0459,12814.625,11910.352,13506.383
119.0342071,5100.5586,5512.453,1054.5371,5319.824,1245.1797,1254.46,4180.6562,4429.4297,4416.254
119.0343105,13391.109,14174.422,2796.461,14364.75,2308.2207,3058.412,11268.336,9317.8125,11128.68
119.0348354,14079.742,15922.617,6043.8867,15514.016,10493.859,9251.828,9477.922,9352.6875,0
119.0485968,3645.463,3497.6035,3393.338,3359.2598,3535.1016,3785.0098,6463.449,6290.25,7028.742
119.0486826,7277.879,8088.676,5706.4062,7953.711,6297.133,6274.0703,6945.0625,7386.5,7642.9883
119.0487102,6018.09,6414.1562,4377.336,6543.375,4779.711,5116.1445,5047.949,5416.3047,5707.1055
119.0487395,3848.1816,4434.9297,4927.426,4622.8633,4815.8086,4605.039,5631.2227,5369.199,6341.9844
119.0488292,5471.9023,6439.4336,4570.5586,6221.5195,4482.1484,4904.2383,6676.8516,6514.5664,7079.2734
119.0488811,14837.344,13635.18,16599.625,14809.859,18760.703,18882.812,8653.906,8569.039,8796.945
119.9228063,6786.1055,8294.117,5325.7617,8307.461,5605.1797,5633.422,5518.129,4865.2227,5099.0703
119.9230102,2541.4824,1952.3379,3383.629,1745.8379,3345.3203,3508.4316,3143.8105,2899.4258,2913.9277
119.9230632,6876.1055,7025.8047,5082.7617,6473.664,5271.9062,5212.504,4364.8594,4700.9766,4188.414
119.9230691,4457.3555,3680.205,4236.4727,3477.041,4185.3906,4208.164,4115.8594,4055.2285,3786.4219
119.9232815,52912.28,52156.97,46959.72,53982.844,43882.22,45058.5,44396,44566.594,10587.977
119.9360446,6633.2773,5590.574,1554.9316,6546.133,1293.9248,1369.6924,15783.492,17043.922,15332.156
119.9455499,6169.875,6240.1094,4496.629,6189.4883,5607.3086,5041.457,3677.8633,3707.8594,4570.633
119.9455881,5798.289,5651.8086,4917.5312,6015.6953,5418.949,4978.871,4377.5117,4463.2695,4723.254
119.9455973,6569.6094,6015.125,5352.7656,6553.7383,5614.785,5498.9062,4467.3125,4297.6914,5132.086
120.9270852,29382.266,29655.89,4871.285,31071.672,3435.004,3363.0098,17735.453,19012.344,21952.89
120.9440975,48099.688,43073.906,9608.453,47406.28,8661.219,8634.875,115481.75,107661.94,112489.75
121.0279646,5718.9414,5167.668,996,5308.7773,1117.168,1148.3613,3650.1855,3345.5723,3998.4727
121.0280661,1379.4629,1305.3525,4504.3906,1446.3369,4212.9883,4657.9844,2575.5781,2777.7715,2693.4043
121.0281899,2824.1465,2493.1191,1609,2569.9473,1484.457,1534.3877,4597.992,4571.5625,5112.746
121.0282439,2824.1465,2493.1191,1382.3555,3151.17,1738.1025,1605.0254,4778.992,5144.3906,5159.742
121.0282583,1644.6182,1418.9678,4918.9688,1485.9014,4616.9844,5237.004,4255.8984,4256.7344,4636.9805
121.0282928,4015.0078,3951.5508,3686.4746,4416.078,3665.9258,3311.4727,7023.367,7542.957,6783.578
121.0283878,4569.664,4252.418,55341.438,4606,55449.97,54465.625,6307.7227,5899.324,6025.082
121.028478,4681.801,4443.574,90999.875,4291.7383,86685.06,88193.06,7451.6367,7078.867,7506.703
121.9264567,5439.4336,5452.914,5008.582,6232.875,5193.254,4760.3438,5067.6016,5171.367,0
121.9438182,8042.5117,6736.1953,1508.8262,7843.703,1231.8545,1517.9971,17415.688,17672.234,16921.469
121.9996396,0,0,0,0,0,0,0,0,0
122.035385,3770.3066,3313.3066,25946.344,3523.9004,25852.125,25795.719,2202.7715,2012.3262,2219.3516
122.0354032,1890.2646,1781.4648,3899.5645,1850.7139,3512.9414,3559.1855,1461.3037,1468.0166,1482.1914
122.035532,2769.2754,2694.2363,42198.625,2499.996,41107.72,41459.062,3644.6133,4116.0195,3484.4492
122.0356397,985.6162,1242.5381,878.76807,1320.832,1012.7793,1243.1514,1909.8359,1890.6943,1973.5781
122.036022,0,0,0,0,0,0,0,0,0
122.9414834,10479.453,9049.898,1997.083,9374.133,1542.2178,2030.4434,23793.14,23847.797,24250.797
